idea_id,run_index,project_id,block,input_tokens,output_tokens,latency_ms,retries
idea-005,0,e6d0fc67-5de9-4992-8a7c-ac160fce3fca,pitch,10822,1872,16121,0
idea-005,0,e6d0fc67-5de9-4992-8a7c-ac160fce3fca,scenario,10167,706,5536,0
idea-005,0,e6d0fc67-5de9-4992-8a7c-ac160fce3fca,hypotheses,9444,697,4630,0
idea-005,0,e6d0fc67-5de9-4992-8a7c-ac160fce3fca,what_if,6894,2502,13681,0
idea-005,0,e6d0fc67-5de9-4992-8a7c-ac160fce3fca,architecture,6560,564,3917,0
idea-005,0,e6d0fc67-5de9-4992-8a7c-ac160fce3fca,canvas,3411,2131,18435,0
idea-005,0,e6d0fc67-5de9-4992-8a7c-ac160fce3fca,models_options,2811,738,5233,0
idea-005,0,e6d0fc67-5de9-4992-8a7c-ac160fce3fca,empathy_map,646,1449,10318,0
idea-002,0,3ac47433-0daa-467c-82e1-a6bc8b8f1be5,pitch,11078,1898,13101,0
idea-002,0,3ac47433-0daa-467c-82e1-a6bc8b8f1be5,scenario,10421,708,5978,0
idea-002,0,3ac47433-0daa-467c-82e1-a6bc8b8f1be5,hypotheses,9946,513,3439,0
idea-002,0,3ac47433-0daa-467c-82e1-a6bc8b8f1be5,what_if,7050,2800,15029,0
idea-002,0,3ac47433-0daa-467c-82e1-a6bc8b8f1be5,architecture,6677,605,4557,0
idea-002,0,3ac47433-0daa-467c-82e1-a6bc8b8f1be5,canvas,3284,2031,19309,0
idea-002,0,3ac47433-0daa-467c-82e1-a6bc8b8f1be5,models_options,2722,695,4622,0
idea-002,0,3ac47433-0daa-467c-82e1-a6bc8b8f1be5,empathy_map,646,1372,8237,0
idea-001,0,1bedc9a1-25c9-462a-a5e0-78e64c7799a8,pitch,10022,1866,13960,0
idea-001,0,1bedc9a1-25c9-462a-a5e0-78e64c7799a8,scenario,9420,657,4662,0
idea-001,0,1bedc9a1-25c9-462a-a5e0-78e64c7799a8,hypotheses,8961,497,3699,0
idea-001,0,1bedc9a1-25c9-462a-a5e0-78e64c7799a8,what_if,6533,2382,12538,0
idea-001,0,1bedc9a1-25c9-462a-a5e0-78e64c7799a8,architecture,6250,513,3544,0
idea-001,0,1bedc9a1-25c9-462a-a5e0-78e64c7799a8,canvas,3229,1980,15513,0
idea-001,0,1bedc9a1-25c9-462a-a5e0-78e64c7799a8,models_options,2685,680,3650,0
idea-001,0,1bedc9a1-25c9-462a-a5e0-78e64c7799a8,empathy_map,616,1365,8576,0
idea-003,0,5f8a039f-3adf-474c-94c9-a96a2ccf5eca,pitch,11321,1949,13084,0
idea-003,0,5f8a039f-3adf-474c-94c9-a96a2ccf5eca,scenario,10593,781,6250,0
idea-003,0,5f8a039f-3adf-474c-94c9-a96a2ccf5eca,hypotheses,10123,508,3158,0
idea-003,0,5f8a039f-3adf-474c-94c9-a96a2ccf5eca,what_if,7347,2694,13812,1
idea-003,0,5f8a039f-3adf-474c-94c9-a96a2ccf5eca,architecture,6932,646,4154,0
idea-003,0,5f8a039f-3adf-474c-94c9-a96a2ccf5eca,canvas,3587,1995,12800,0
idea-003,0,5f8a039f-3adf-474c-94c9-a96a2ccf5eca,models_options,2979,747,4752,0
idea-003,0,5f8a039f-3adf-474c-94c9-a96a2ccf5eca,empathy_map,746,1505,9512,0
idea-004,0,1720f166-0235-4e29-bde4-9f2502c4cbd8,pitch,10526,1839,10299,0
idea-004,0,1720f166-0235-4e29-bde4-9f2502c4cbd8,scenario,9884,693,8361,0
idea-004,0,1720f166-0235-4e29-bde4-9f2502c4cbd8,hypotheses,9441,481,4153,0
idea-004,0,1720f166-0235-4e29-bde4-9f2502c4cbd8,what_if,7095,2317,10705,1
idea-004,0,1720f166-0235-4e29-bde4-9f2502c4cbd8,architecture,6800,525,3549,0
idea-004,0,1720f166-0235-4e29-bde4-9f2502c4cbd8,canvas,3448,2121,15089,0
idea-004,0,1720f166-0235-4e29-bde4-9f2502c4cbd8,models_options,2898,696,4285,0
idea-004,0,1720f166-0235-4e29-bde4-9f2502c4cbd8,empathy_map,617,1553,10130,0
