idea_id,run_index,project_id,block,input_tokens,output_tokens,latency_ms,retries
idea-004,0,5d854e01-808f-45d7-a7fe-ff2490330b09,pitch,10755,1717,16040,0
idea-004,0,5d854e01-808f-45d7-a7fe-ff2490330b09,scenario,10084,845,10656,0
idea-004,0,5d854e01-808f-45d7-a7fe-ff2490330b09,hypotheses,9671,467,5147,0
idea-004,0,5d854e01-808f-45d7-a7fe-ff2490330b09,what_if,6567,3508,31974,0
idea-004,0,5d854e01-808f-45d7-a7fe-ff2490330b09,architecture,6180,616,6301,0
idea-004,0,5d854e01-808f-45d7-a7fe-ff2490330b09,canvas,3291,1740,13914,0
idea-004,0,5d854e01-808f-45d7-a7fe-ff2490330b09,models_options,2594,942,8894,0
idea-004,0,5d854e01-808f-45d7-a7fe-ff2490330b09,empathy_map,617,1333,15682,0
idea-003,0,82e14cd2-7c93-4e46-ba03-2ddd69e118be,pitch,12403,1994,17257,0
idea-003,0,82e14cd2-7c93-4e46-ba03-2ddd69e118be,scenario,11575,883,13691,0
idea-003,0,82e14cd2-7c93-4e46-ba03-2ddd69e118be,hypotheses,11186,443,4365,0
idea-003,0,82e14cd2-7c93-4e46-ba03-2ddd69e118be,what_if,8048,3175,25004,0
idea-003,0,82e14cd2-7c93-4e46-ba03-2ddd69e118be,architecture,7646,632,5510,0
idea-003,0,82e14cd2-7c93-4e46-ba03-2ddd69e118be,canvas,4099,2527,22954,0
idea-003,0,82e14cd2-7c93-4e46-ba03-2ddd69e118be,models_options,3351,889,7438,0
idea-003,0,82e14cd2-7c93-4e46-ba03-2ddd69e118be,empathy_map,746,1903,17745,0
idea-002,0,cdb62510-76c8-46c6-8d68-db1eea767af2,pitch,11496,1959,21998,0
idea-002,0,cdb62510-76c8-46c6-8d68-db1eea767af2,scenario,10828,723,9823,0
idea-002,0,cdb62510-76c8-46c6-8d68-db1eea767af2,hypotheses,10307,559,5480,0
idea-002,0,cdb62510-76c8-46c6-8d68-db1eea767af2,what_if,7283,3013,29883,0
idea-002,0,cdb62510-76c8-46c6-8d68-db1eea767af2,architecture,6892,643,6548,0
idea-002,0,cdb62510-76c8-46c6-8d68-db1eea767af2,canvas,3701,1957,16814,0
idea-002,0,cdb62510-76c8-46c6-8d68-db1eea767af2,models_options,3040,798,7608,0
idea-002,0,cdb62510-76c8-46c6-8d68-db1eea767af2,empathy_map,646,1678,18508,0
idea-001,0,160259b5-2131-4c48-a397-09aada0fb952,pitch,11602,1719,13995,0
idea-001,0,160259b5-2131-4c48-a397-09aada0fb952,scenario,10810,846,12595,0
idea-001,0,160259b5-2131-4c48-a397-09aada0fb952,hypotheses,10387,477,4147,0
idea-001,0,160259b5-2131-4c48-a397-09aada0fb952,what_if,7423,2981,26186,1
idea-001,0,160259b5-2131-4c48-a397-09aada0fb952,architecture,7028,624,5597,1
idea-001,0,160259b5-2131-4c48-a397-09aada0fb952,canvas,4006,1870,16356,0
idea-001,0,160259b5-2131-4c48-a397-09aada0fb952,models_options,3256,888,7467,0
idea-001,0,160259b5-2131-4c48-a397-09aada0fb952,empathy_map,616,1912,18161,0
idea-005,0,3387abd3-cad6-4686-b9d9-62055931599c,scenario,11154,855,11759,0
idea-005,0,3387abd3-cad6-4686-b9d9-62055931599c,hypotheses,10691,521,4464,0
idea-005,0,3387abd3-cad6-4686-b9d9-62055931599c,what_if,7448,3162,26636,0
idea-005,0,3387abd3-cad6-4686-b9d9-62055931599c,architecture,7133,545,5289,0
idea-005,0,3387abd3-cad6-4686-b9d9-62055931599c,canvas,4160,1482,14782,0
idea-005,0,3387abd3-cad6-4686-b9d9-62055931599c,models_options,3435,871,7634,0
idea-005,0,3387abd3-cad6-4686-b9d9-62055931599c,empathy_map,646,2049,27260,0
idea-005,0,3387abd3-cad6-4686-b9d9-62055931599c,pitch,11956,1938,16434,0
