idea_id,run_index,project_id,block,input_tokens,output_tokens,latency_ms,retries
idea-001,0,c11ec652-a70b-45a9-ae5c-62a716e015bc,pitch,11244,1772,18815,0
idea-001,0,c11ec652-a70b-45a9-ae5c-62a716e015bc,scenario,10555,919,11902,0
idea-001,0,c11ec652-a70b-45a9-ae5c-62a716e015bc,hypotheses,10117,872,13346,0
idea-001,0,c11ec652-a70b-45a9-ae5c-62a716e015bc,what_if,7432,2943,31861,0
idea-001,0,c11ec652-a70b-45a9-ae5c-62a716e015bc,architecture,7035,629,8162,0
idea-001,0,c11ec652-a70b-45a9-ae5c-62a716e015bc,canvas,3659,2001,20634,0
idea-001,0,c11ec652-a70b-45a9-ae5c-62a716e015bc,models_options,2966,832,10953,0
idea-001,0,c11ec652-a70b-45a9-ae5c-62a716e015bc,empathy_map,616,1655,17460,0
idea-005,0,5bdd2575-64f2-4c0b-a926-f5fde564c043,pitch,10967,1792,17843,0
idea-005,0,5bdd2575-64f2-4c0b-a926-f5fde564c043,scenario,10243,888,11185,0
idea-005,0,5bdd2575-64f2-4c0b-a926-f5fde564c043,hypotheses,9862,532,7890,0
idea-005,0,5bdd2575-64f2-4c0b-a926-f5fde564c043,what_if,7345,2730,29263,0
idea-005,0,5bdd2575-64f2-4c0b-a926-f5fde564c043,architecture,7005,926,11822,0
idea-005,0,5bdd2575-64f2-4c0b-a926-f5fde564c043,canvas,3783,1990,19869,0
idea-005,0,5bdd2575-64f2-4c0b-a926-f5fde564c043,models_options,3102,814,10777,0
idea-005,0,5bdd2575-64f2-4c0b-a926-f5fde564c043,empathy_map,646,1747,16750,0
idea-002,0,40f718cc-88a3-47a2-acc3-4c0d1668049b,pitch,11572,1751,18057,0
idea-002,0,40f718cc-88a3-47a2-acc3-4c0d1668049b,scenario,10828,1043,11303,0
idea-002,0,40f718cc-88a3-47a2-acc3-4c0d1668049b,hypotheses,10311,614,9429,0
idea-002,0,40f718cc-88a3-47a2-acc3-4c0d1668049b,what_if,7536,3533,40816,0
idea-002,0,40f718cc-88a3-47a2-acc3-4c0d1668049b,architecture,7172,799,11353,0
idea-002,0,40f718cc-88a3-47a2-acc3-4c0d1668049b,canvas,3689,2114,21099,0
idea-002,0,40f718cc-88a3-47a2-acc3-4c0d1668049b,models_options,3031,964,13490,0
idea-002,0,40f718cc-88a3-47a2-acc3-4c0d1668049b,empathy_map,646,1742,17087,0
idea-004,0,40ad3fe9-bab6-44b5-a666-460111593b2b,pitch,10859,1717,16905,0
idea-004,0,40ad3fe9-bab6-44b5-a666-460111593b2b,scenario,10110,1042,11670,0
idea-004,0,40ad3fe9-bab6-44b5-a666-460111593b2b,hypotheses,9659,557,7927,0
idea-004,0,40ad3fe9-bab6-44b5-a666-460111593b2b,what_if,7162,2837,31957,0
idea-004,0,40ad3fe9-bab6-44b5-a666-460111593b2b,architecture,6920,785,10091,0
idea-004,0,40ad3fe9-bab6-44b5-a666-460111593b2b,canvas,3549,2118,21798,0
idea-004,0,40ad3fe9-bab6-44b5-a666-460111593b2b,models_options,2902,785,10345,0
idea-004,0,40ad3fe9-bab6-44b5-a666-460111593b2b,empathy_map,617,1596,15250,0
idea-003,0,8ae6b814-0b51-4117-8a65-7cb9e918d36e,pitch,11447,1803,21253,0
idea-003,0,8ae6b814-0b51-4117-8a65-7cb9e918d36e,scenario,10624,1095,12294,0
idea-003,0,8ae6b814-0b51-4117-8a65-7cb9e918d36e,hypotheses,10209,569,7827,0
idea-003,0,8ae6b814-0b51-4117-8a65-7cb9e918d36e,what_if,7501,3034,36291,0
idea-003,0,8ae6b814-0b51-4117-8a65-7cb9e918d36e,architecture,7165,700,8328,0
idea-003,0,8ae6b814-0b51-4117-8a65-7cb9e918d36e,canvas,3847,1995,21294,0
idea-003,0,8ae6b814-0b51-4117-8a65-7cb9e918d36e,models_options,3176,812,10053,0
idea-003,0,8ae6b814-0b51-4117-8a65-7cb9e918d36e,empathy_map,746,1788,17403,0
