idea_id,run_index,project_id,block,input_tokens,output_tokens,latency_ms,retries
idea-002,0,99527361-b451-4c7a-85c6-ac6ddb8755f3,pitch,11626,2208,28712,0
idea-002,0,99527361-b451-4c7a-85c6-ac6ddb8755f3,scenario,10969,1057,15990,0
idea-002,0,99527361-b451-4c7a-85c6-ac6ddb8755f3,hypotheses,10531,1436,22228,0
idea-002,0,99527361-b451-4c7a-85c6-ac6ddb8755f3,what_if,7650,3712,55869,0
idea-002,0,99527361-b451-4c7a-85c6-ac6ddb8755f3,architecture,7329,870,13682,0
idea-002,0,99527361-b451-4c7a-85c6-ac6ddb8755f3,canvas,3981,2036,25544,0
idea-002,0,99527361-b451-4c7a-85c6-ac6ddb8755f3,models_options,3352,996,18628,0
idea-002,0,99527361-b451-4c7a-85c6-ac6ddb8755f3,empathy_map,646,2126,30300,0
idea-001,0,79cfb2a5-6270-4005-a7d9-6a262232ccda,pitch,11370,1967,23608,0
idea-001,0,79cfb2a5-6270-4005-a7d9-6a262232ccda,scenario,10646,1129,16726,0
idea-001,0,79cfb2a5-6270-4005-a7d9-6a262232ccda,hypotheses,10173,1915,33276,0
idea-001,0,79cfb2a5-6270-4005-a7d9-6a262232ccda,what_if,7614,3562,54965,0
idea-001,0,79cfb2a5-6270-4005-a7d9-6a262232ccda,architecture,7287,935,14026,0
idea-001,0,79cfb2a5-6270-4005-a7d9-6a262232ccda,canvas,3816,2109,26184,0
idea-001,0,79cfb2a5-6270-4005-a7d9-6a262232ccda,models_options,3178,985,16446,0
idea-001,0,79cfb2a5-6270-4005-a7d9-6a262232ccda,empathy_map,616,1899,24615,0
idea-004,0,0377399b-288f-4faf-8220-131df766033f,scenario,10577,1221,17303,0
idea-004,0,0377399b-288f-4faf-8220-131df766033f,hypotheses,10170,445,6888,0
idea-004,0,0377399b-288f-4faf-8220-131df766033f,what_if,7277,3301,46512,0
idea-004,0,0377399b-288f-4faf-8220-131df766033f,architecture,6969,771,11703,0
idea-004,0,0377399b-288f-4faf-8220-131df766033f,canvas,3614,2033,24128,0
idea-004,0,0377399b-288f-4faf-8220-131df766033f,models_options,3021,832,13581,0
idea-004,0,0377399b-288f-4faf-8220-131df766033f,empathy_map,617,1784,23533,0
idea-005,0,d90813e2-ead1-438a-9d33-9a7065f572de,scenario,10896,1116,15961,0
idea-005,0,d90813e2-ead1-438a-9d33-9a7065f572de,hypotheses,10455,972,16073,0
idea-005,0,d90813e2-ead1-438a-9d33-9a7065f572de,what_if,7871,3400,52059,0
idea-005,0,d90813e2-ead1-438a-9d33-9a7065f572de,architecture,7511,927,14406,0
idea-005,0,d90813e2-ead1-438a-9d33-9a7065f572de,canvas,3948,2192,27270,0
idea-005,0,d90813e2-ead1-438a-9d33-9a7065f572de,models_options,3299,858,14507,0
idea-005,0,d90813e2-ead1-438a-9d33-9a7065f572de,empathy_map,646,1966,24012,0
idea-003,0,0364bf39-d92a-4563-bcc7-3e7fa4bb1905,scenario,10832,929,13659,0
idea-003,0,0364bf39-d92a-4563-bcc7-3e7fa4bb1905,hypotheses,10415,1582,25702,0
idea-003,0,0364bf39-d92a-4563-bcc7-3e7fa4bb1905,what_if,7599,3659,51795,0
idea-003,0,0364bf39-d92a-4563-bcc7-3e7fa4bb1905,architecture,7251,748,11750,0
idea-003,0,0364bf39-d92a-4563-bcc7-3e7fa4bb1905,canvas,3848,2188,25577,0
idea-003,0,0364bf39-d92a-4563-bcc7-3e7fa4bb1905,models_options,3206,969,14688,0
idea-003,0,0364bf39-d92a-4563-bcc7-3e7fa4bb1905,empathy_map,746,1882,22111,0
